doc_name,company,doc_type,doc_period,gics_sector,doc_link,pages_in_corpus
AMCOR_2020_10K,Amcor,10k,2020,Materials,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/1517907/Annual%20report%20%5BSection%2013%20and%2015(d)%2C%20not%20S-K%20Item%20405%5D.pdf,1
AMCOR_2022_8K_dated-2022-07-01,Amcor,8k,2022,Materials,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/1517333/Current%20report.pdf,1
AMCOR_2023Q2_10Q,Amcor,10q,2023,Materials,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/1516809/Quarterly%20report%20%5BSections%2013%20or%2015(d)%5D.pdf,1
AMCOR_2023Q4_EARNINGS,Amcor,Earnings,2023,Materials,https://assets.ctfassets.net/f7tuyt85vtoa/lkZ2DcdUS4nrhXzLdqCIw/4de2a47a58532c829039cfa972c7ad78/Amcor_FY23_-_Press_Release_FINAL.pdf,2
AMCOR_2023_10K,Amcor,10k,2023,Materials,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/1556025/Annual%20report%20%5BSection%2013%20and%2015(d)%2C%20not%20S-K%20Item%20405%5D.pdf,4
AMD_2015_10K,AMD,10k,2015,Information Technology,https://ir.amd.com/sec-filings/filter/annual-filings/content/0000002488-16-000111/0000002488-16-000111.pdf,2
AMD_2022_10K,AMD,10k,2022,Information Technology,https://ir.amd.com/sec-filings/content/0000002488-23-000047/0000002488-23-000047.pdf,6
AMERICANEXPRESS_2022_10K,American Express,10k,2022,Financials,https://s26.q4cdn.com/747928648/files/doc_financials/2022/q4/AMEX-10K-4Q22.pdf,6
AMERICANWATERWORKS_2020_10K,American Water Works,10k,2020,Utilities,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001410636/088387fd-7250-4370-80a7-dc5a30ea84ed.pdf,1
AMERICANWATERWORKS_2021_10K,American Water Works,10k,2021,Utilities,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001410636/1228947b-ee48-4079-984b-7741727bbcea.pdf,2
AMERICANWATERWORKS_2022_10K,American Water Works,10k,2022,Utilities,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001410636/ba508f4d-f3f5-4b6a-beba-e7bef231f5db.pdf,2
BESTBUY_2017_10K,Best Buy,10k,2017,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000764478/47c2227c-aa33-4fe8-b14c-5f77bc63857e.pdf,1
BESTBUY_2019_10K,Best Buy,10k,2019,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000764478/17bef9d1-6ef1-4a53-beb8-9c12b07a4a0e.pdf,1
BESTBUY_2023_10K,Best Buy,10k,2023,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000764478/a7d1c855-4d22-48e4-9d17-b5f5af923dbe.pdf,3
BESTBUY_2024Q2_10Q,Best Buy,10q,2024,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000764478/5e179976-086d-4c3c-af0c-85fda4b35b9d.pdf,3
BLOCK_2016_10K,Block,10k,2016,Information Technology,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001512673/1862b88f-4e6b-4251-be45-4833fc0a0126.pdf,1
BLOCK_2020_10K,Block,10k,2020,Information Technology,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001512673/c7b05bfa-5bb8-43b7-9580-9de362ef1e83.pdf,2
BOEING_2018_10K,Boeing,10k,2018,Industrials,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000012927/fdc164e4-475f-416e-ac75-acd03df4d646.pdf,1
BOEING_2022_10K,Boeing,10k,2022,Industrials,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000012927/c93682a4-8b3c-4251-a2ed-97c4e474a214.pdf,7
COCACOLA_2017_10K,Coca-Cola,10k,2017,Consumer Staples,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0000021344-18-000008/0000021344-18-000008.pdf,2
COCACOLA_2021_10K,Coca-Cola,10k,2021,Consumer Staples,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0000021344-22-000009/0000021344-22-000009.pdf,1
COCACOLA_2022_10K,Coca-Cola,10k,2022,Consumer Staples,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0000021344-23-000011/0000021344-23-000011.pdf,2
CORNING_2020_10K,Corning,10k,2020,Information Technology,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000024741/7cdeac7f-277e-4258-ad8e-4ba0f655f368.pdf,2
CORNING_2021_10K,Corning,10k,2021,Information Technology,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000024741/f9519502-38b3-4e0b-94fa-b6a7138812a4.pdf,1
CORNING_2022_10K,Corning,10k,2022,Information Technology,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000024741/eb24002c-e050-45eb-806a-15264d59131c.pdf,2
COSTCO_2021_10K,Costco,10k,2021,Consumer Staples,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000909832/534964a5-44c9-47b3-b3c0-7620830fad6c.pdf,1
CVSHEALTH_2018_10K,CVS Health,10k,2018,Health Care,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000064803/317e65d9-41c0-4975-b3e1-30f7f2616049.pdf,2
CVSHEALTH_2022_10K,CVS Health,10k,2022,Health Care,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000064803/e4b97418-e95e-4391-b2d9-8c604c4950ac.pdf,5
FOOTLOCKER_2022_8K_dated-2022-05-20,Foot Locker,8k,2022,Consumer Discretionary,https://investors.footlocker-inc.com/static-files/1ad2000b-8d76-4acd-8048-90b6fc17fee1,1
FOOTLOCKER_2022_8K_dated_2022-08-19,Foot Locker,8k,2022,Consumer Discretionary,https://investors.footlocker-inc.com/static-files/6120b3ac-d921-4d93-9e7a-c2685e4b74b0,1
GENERALMILLS_2019_10K,General Mills,10k,2019,Consumer Staples,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000040704/0fd13703-8eed-4b60-b46c-b2b3199887dc.pdf,2
GENERALMILLS_2020_10K,General Mills,10k,2020,Consumer Staples,https://s29.q4cdn.com/993087495/files/doc_downloads/2020/F20_10K_Final_07.01.2020.pdf,2
GENERALMILLS_2022_10K,General Mills,10k,2022,Consumer Staples,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000040704/e031af8c-f4fd-4350-9275-d3dbbec95c8c.pdf,2
JOHNSON_JOHNSON_2022Q4_EARNINGS,Johnson & Johnson,Earnings,2022,Health Care,https://johnsonandjohnson.gcs-web.com/static-files/ca8c3ac2-15ab-4f8d-9693-f604d50be358,2
JOHNSON_JOHNSON_2022_10K,Johnson & Johnson,10k,2022,Health Care,https://johnsonandjohnson.gcs-web.com/static-files/9b012500-471a-4df9-93fc-6cee2b420678,4
JOHNSON_JOHNSON_2023Q2_EARNINGS,Johnson & Johnson,Earnings,2023,Health Care,https://johnsonandjohnson.gcs-web.com/static-files/6626623f-0619-46dc-b7b6-57568124c517,1
JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,Johnson & Johnson,8k,2023,Health Care,https://johnsonandjohnson.gcs-web.com/static-files/fa9ff302-f93d-450a-a73a-2ac9fb67d2ee,1
JPMORGAN_2021Q1_10Q,JPMorgan,10q,2021,Financials,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2021/1st-quarter/1q21-10-q.pdf,2
JPMORGAN_2022Q2_10Q,JPMorgan,10q,2022,Financials,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2022/2nd-quarter/corp-q2-2022.pdf,1
JPMORGAN_2022_10K,JPMorgan,10k,2022,Financials,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2022/4th-quarter/corp-10k-2022.pdf,1
JPMORGAN_2023Q2_10Q,JPMorgan,10q,2023,Financials,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2023/2nd-quarter/CORP-Q2-2023.pdf,1
KRAFTHEINZ_2019_10K,Kraft Heinz,10k,2019,Consumer Staples,https://ir.kraftheinzcompany.com/static-files/2d2e9a1f-a7bc-4c07-9e5e-77aa60be8f86,2
LOCKHEEDMARTIN_2020_10K,Lockheed Martin,10k,2020,Industrials,https://investors.lockheedmartin.com/static-files/51bf9a09-5811-4f36-a5e4-fccaf8bfffea,2
LOCKHEEDMARTIN_2021_10K,Lockheed Martin,10k,2021,Industrials,https://investors.lockheedmartin.com/static-files/9ea385e3-f89c-471a-a720-4dcda1279cec,1
LOCKHEEDMARTIN_2022_10K,Lockheed Martin,10k,2022,Industrials,https://investors.lockheedmartin.com/static-files/3e78cba6-f0c4-48d0-b931-fc6137744c87,1
MGMRESORTS_2018_10K,MGM Resorts,10k,2018,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000789570/d1b055df-9e21-4013-a311-67c98e2eb16a.pdf,1
MGMRESORTS_2020_10K,MGM Resorts,10k,2020,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000789570/03692647-6ccc-4177-8ce9-13ac35692254.pdf,2
MGMRESORTS_2022Q4_EARNINGS,MGM Resorts,Earnings,2022,Consumer Discretionary,https://s22.q4cdn.com/513010314/files/doc_financials/2022/q4/r/MGM-Resorts-Exhibit-99.1.pdf,4
MGMRESORTS_2022_10K,MGM Resorts,10k,2022,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000789570/5e924681-e9c4-4bfb-95db-ef7c484303e7.pdf,1
MGMRESORTS_2023Q2_10Q,MGM Resorts,10q,2023,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000789570/e20e899f-c320-44ee-b5f9-c219e4585f49.pdf,1
MICROSOFT_2016_10K,Microsoft,10k,2016,Information Technology,https://microsoft.gcs-web.com/static-files/a779c4f1-d788-4890-83fb-633d198efe7e,1
MICROSOFT_2023_10K,Microsoft,10k,2023,Information Technology,https://microsoft.gcs-web.com/static-files/e2931fdb-9823-4130-b2a8-f6b8db0b15a9,1
NETFLIX_2015_10K,Netflix,10k,2015,Communication Services,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001065280/7c37ae9c-ace5-4ad5-ab02-6b5e82c5ff8f.pdf,2
NETFLIX_2017_10K,Netflix,10k,2017,Communication Services,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001065280/105c44c4-a362-4ed5-b606-78f512ff277c.pdf,1
NIKE_2018_10K,Nike,10k,2018,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320187/3489b854-fa60-41a7-b8c3-8dc6b67534c0.pdf,1
NIKE_2019_10K,Nike,10k,2019,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320187/76b92d86-75b3-4fa9-a754-e83395d63a46.pdf,1
NIKE_2021_10K,Nike,10k,2021,Consumer Discretionary,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320187/702c5a98-3399-4049-aa9b-a159dd44826c.pdf,2
NIKE_2023_10K,Nike,10k,2023,Consumer Discretionary,https://s1.q4cdn.com/806093406/files/doc_downloads/2023/414759-1-_5_Nike-NPS-Combo_Form-10-K_WR.pdf,1
PAYPAL_2022_10K,Paypal,10k,2022,Financials,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001633917/b562e712-8266-493c-8ae8-e28f93404d2f.pdf,1
PEPSICO_2021_10K,PepsiCo,10k,2021,Consumer Staples,https://pepsico.gcs-web.com/static-files/a5a1d988-8e28-4dc7-ac4e-e6a2abfd0310,1
PEPSICO_2022_10K,PepsiCo,10k,2022,Consumer Staples,https://pepsico.gcs-web.com/static-files/d051bdd6-c6d2-4814-826f-ece589b88d4c,6
PEPSICO_2023Q1_EARNINGS,PepsiCo,Earnings,2023,Consumer Staples,https://investors.pepsico.com/docs/default-source/investors/q1-2023/q1-2023-earnings-release_wfvmt94lzqbm92aw.pdf?sfvrsn=5db72450_4,1
PEPSICO_2023_8K_dated-2023-05-05,PepsiCo,8k,2023,Consumer Staples,https://pepsico.gcs-web.com/static-files/718629be-2463-4b54-bba3-5e0e776e7d0c,1
PEPSICO_2023_8K_dated-2023-05-30,PepsiCo,8k,2023,Consumer Staples,https://pepsico.gcs-web.com/static-files/bcd1012b-77b8-4ac0-8b28-5e0a7c686f4e,1
PFIZER_2021_10K,Pfizer,10k,2021,Health Care,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000078003/fa35a206-5bac-4a7a-9571-1e194b4436b5.pdf,4
Pfizer_2023Q2_10Q,Pfizer,10q,2023,Health Care,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000078003/c7518e4a-3aaf-4987-ae85-27460d0f526c.pdf,2
ULTABEAUTY_2023Q4_EARNINGS,Ulta Beauty,Earnings,2023,Consumer Discretionary,https://d1io3yog0oux5.cloudfront.net/_237c8bef5f763d3c6c3a0d12f008caba/ulta/news/2023-03-09_Ulta_Beauty_Announces_Fourth_Quarter_Fiscal_2022_164.pdf,2
ULTABEAUTY_2023_10K,Ulta Beauty,10k,2023,Consumer Discretionary,https://www.ulta.com/investor/sec-filings/annual-reports/content/0001558370-23-004581/0001558370-23-004581.pdf,2
VERIZON_2021_10K,Verizon,10k,2021,Communication Services,https://www.verizon.com/about/sites/default/files/2021-Annual-Report-on-Form-10-K.pdf,3
VERIZON_2022_10K,Verizon,10k,2022,Communication Services,https://www.verizon.com/about/sites/default/files/2022-Annual-Report-on-Form-10K.pdf,3
WALMART_2018_10K,Walmart,10k,2018,Consumer Staples,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000104169/a25e7acb-aa07-49f3-8c0c-0c69e5a8d372.pdf,2
WALMART_2019_10K,Walmart,10k,2019,Consumer Staples,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000104169/b23b2787-eb44-4e0b-82bd-fca01f140a3e.pdf,1
WALMART_2020_10K,Walmart,10k,2020,Consumer Staples,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000104169/af5415d9-0e07-4ba1-a6cc-bb3058a7f4e8.pdf,2
